Frequency	Word
81287	россия
37353	москва
12650	европа
7874	германия
7514	америка
6933	китай
6287	запад
5961	украина
5869	франция
5748	восток
5081	чечня
4923	петербург
4502	япония
4364	париж
3761	санкт-петербург
3347	сибирь
3310	азия
3247	англия
3124	украинский
3086	италия
2789	русь
2621	индия
2531	лондон
2398	урал
2383	африка
2216	великобритания
2173	кавказ
2160	польша
2098	испания
2095	киев
2009	грузия
1950	новгород
1863	петербургский
1783	самара
1737	турция
1710	пермь
1707	иран
1661	рим
1634	белоруссия
1628	берлин
1549	крым
1496	вашингтон
1397	финляндия
1394	находка
1378	египет
1362	спб
1324	швейцария
1241	швеция
1214	греция
1174	саратов
1158	екатеринбург
1132	одесса
1092	дон
966	пекин
965	казань
964	бразилия
947	горка
929	иерусалим
905	австрия
902	иркутск
902	голландия
899	нева
873	литва
851	армения
823	дагестан
814	норвегия
813	мерка
809	болгария
787	лопатка
775	пафос
749	воронеж
717	венгрия
715	красноярск
703	прага
682	грозный
654	мексика
651	байкал
642	минск
641	бельгия
629	куба
626	ока
619	дания
602	ярославль
570	калифорния
557	ростов
555	кипр
541	тверская
540	арбат
518	севастополь
518	монголия
515	харьков
514	юпитер
502	нидерланды
502	венеция
498	варшава
492	алтай
483	курск
470	камчатка
466	калуга
464	псков
459	аравия
456	эстонский
456	португалия
456	мюнхен
450	омск
433	женева
432	томск
426	сербия
425	молдавия
421	сирия
421	днепр
420	ирландия
410	милан
409	барселона
403	тюмень
400	кубань
398	смоленск
397	нары
397	каспий
395	багдад
393	уфа
392	брюссель
382	константинополь
373	амстердам
369	кама
364	тула
364	софия
357	балканы
349	палестина
347	горн
346	архангельск
343	астрахань
340	мура
327	афины
323	зеландия
318	византия
315	рязань
310	москва-река
306	алжир
300	шотландский
299	стокгольм
295	сидней
283	тверь
280	мадрид
278	вавилон
272	кан
267	вологда
265	тегеран
264	белград
263	стамбул
260	олимп
252	альпы
250	фонтанка
250	енисей
246	шотландия
245	франкфурт
244	рейн
240	кострома
234	тамбов
221	флоренция
220	якутск
215	персия
215	гамбург
214	пресня
214	люксембург
210	посад
204	бавария
203	закавказье
200	меркурий
199	ницца
194	владикавказ
192	копенгаген
191	обь
187	чита
185	цюрих
183	мекка
182	таганрог
180	львов
175	оренбург
171	дунай
168	печора
168	останкино
167	ангара
166	сокольники
166	македония
163	неаполь
163	каир
161	выборг
159	ставрополь
159	брянск
158	мальта
153	полтава
153	кронштадт
152	шуя
152	кишинев
151	феодосия
146	скандинавия
145	петергоф
145	пенза
145	лувр
144	белгород
143	кельн
141	севастопольский
139	пра
133	терек
133	версаль
132	дрезден
131	черногория
130	чад
130	болонья
129	сицилия
129	разумовский
127	коломна
126	александрия
125	нарва
125	волхов
120	гессен
117	подольск
116	углич
116	остоженка
115	нептун
115	лейпциг
114	курская
114	брест
112	яуза
111	елец
110	ржев
109	буэнос-айрес
108	павловск
108	лион
108	гаага
107	майн
107	анапа
105	албания
104	покровка
104	бородино
103	ява
103	тобольск
103	лозанна
103	генуя
103	бессарабия
102	туркестан
102	мож
102	герцеговина
99	таганрогский
99	пятигорск
98	севилья
98	китай-город
97	новочеркасск
97	дамаск
97	витебск
96	острог
96	бастилия
95	гребенка
94	крестовский
94	кенигсберг
94	берн
93	липецк
93	дмитров
92	могилев
91	серпухов
91	двина
89	бухарест
88	замоскворечье
87	эльба
87	вильно
87	арарат
86	краков
85	арзамас
83	ганновер
83	вятка
82	темза
82	висла
81	тифлис
80	иртыш
79	гатчина
78	сена
78	гибралтар
78	бородинский
77	устюг
77	луга
76	остер
76	басманный
75	евфрат
74	азов
73	манила
69	босфор
68	сретенка
68	родос
67	днестр
66	самарканд
66	саксония
65	варна
65	базель
62	звенигород
62	гомель
61	эллада
61	вязьма
61	бухара
60	муром
60	запорожье
58	чернигов
58	царскосельский
58	тоскана
58	колизей
55	чудово
55	цейлон
54	житомир
54	ватерлоо
53	симбирский
51	херсон
51	клязьма
50	полоцкий
50	калькутта
50	валка
49	стрельна
49	можайск
49	верона
49	алушта
48	динь
47	турку
47	имп
47	везувий
46	ходынка
46	полоцк
45	симбирск
44	тамань
44	дербент
43	баден
42	бобров
40	што
40	спарта
40	семипалатинск
40	орша
40	бомбей
39	неман
39	аша
38	триест
38	пиза
36	буг
35	гомера
34	ворожба
33	онега
33	енисейск
33	гринвич
32	перемышль
30	волынь
29	шлиссельбург
29	ильинка
29	бердичев
28	миргород
28	инд
28	бух
27	потсдам
26	уральск
26	тегеранский
26	пря
26	бобруйск
25	арно
24	нахичевань
23	палермо
23	бахчисарай
22	геттинген
22	веймар
21	царицын
21	покровское
21	неча
21	коринф
19	знаменка
18	пречистенский
17	хива
17	очаков
16	егда
15	друж
15	гавр
11	умань
11	люблин